GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 to $1,499,999","Margin of Error; Total: - $1,000,000 to $1,499,999","Estimate; Total: - $1,500,000 to $1,999,999","Margin of Error; Total: - $1,500,000 to $1,999,999","Estimate; Total: - $2,000,000 or more","Margin of Error; Total: - $2,000,000 or more"
1500000US250173001001,250173001001,"Block Group 1, Census Tract 3001, Middlesex County, Massachusetts",480,56,8,9,5,8,0,12,0,12,4,6,0,12,0,12,0,12,5,9,0,12,0,12,5,7,0,12,9,11,5,8,50,24,38,18,106,46,89,38,77,33,58,32,5,7,7,9,9,10,0,12,0,12
1500000US250173001002,250173001002,"Block Group 2, Census Tract 3001, Middlesex County, Massachusetts",444,58,0,12,0,12,0,12,0,12,0,12,5,9,0,12,0,12,5,7,0,12,0,12,0,12,0,12,8,9,19,14,52,35,79,46,105,40,26,16,109,37,31,17,0,12,0,12,5,7,0,12,0,12
1500000US250173011011,250173011011,"Block Group 1, Census Tract 3011.01, Middlesex County, Massachusetts",520,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,26,10,16,170,67,110,52,163,50,35,29,5,9,0,12,0,12,0,12,0,12
1500000US250173011012,250173011012,"Block Group 2, Census Tract 3011.01, Middlesex County, Massachusetts",343,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,9,16,0,12,0,12,13,15,24,23,114,61,111,50,38,33,20,18,7,10,0,12,0,12,0,12,0,12
1500000US250173011013,250173011013,"Block Group 3, Census Tract 3011.01, Middlesex County, Massachusetts",313,83,0,12,0,12,0,12,0,12,0,12,13,20,0,12,0,12,0,12,0,12,42,50,0,12,0,12,9,13,0,12,28,19,22,22,99,49,61,52,26,31,13,21,0,12,0,12,0,12,0,12,0,12
1500000US250173011021,250173011021,"Block Group 1, Census Tract 3011.02, Middlesex County, Massachusetts",370,65,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,0,12,10,15,0,12,0,12,21,22,0,12,0,12,82,51,80,41,71,56,73,40,21,20,0,12,0,12,6,10,0,12,0,12
1500000US250173011022,250173011022,"Block Group 2, Census Tract 3011.02, Middlesex County, Massachusetts",668,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,18,0,12,227,62,236,61,123,62,59,32,7,10,0,12,0,12,0,12,0,12
1500000US250173011023,250173011023,"Block Group 3, Census Tract 3011.02, Middlesex County, Massachusetts",468,75,7,11,0,12,7,10,6,9,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,16,19,0,12,17,18,0,12,93,44,143,64,97,42,27,33,46,43,0,12,0,12,0,12,0,12
1500000US250173101001,250173101001,"Block Group 1, Census Tract 3101, Middlesex County, Massachusetts",114,63,10,17,0,12,0,12,12,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,22,16,26,0,12,0,12,62,55,0,12,0,12,0,12,0,12,0,12,0,12
